"Index","GENERO","EDAD","¿Cuál es tu marca (fabricante) de automoviles favorita?","¿Qué tipo de auto te gusta más?","¿Te gustaría que tu auto fuera autónomo?","¿Te gustaria tener un sistema de luces en tu auto que fuera automatizado e inteligente?","¿Estas a favor o en contra de la conectividad wifi en el auto?","¿Qué movilidad alterna en el auto prefieres?","¿Te gustaria que tu auto aprendiera con IA(inteligencia artificial)?","¿Apoyarías la idea tener un sistema operativo como el de tu teléfono en el automóvil?","¿Crees que las asistencias tecnológicas de ayuda a la conducción mejoran o empeoran la conducción?","¿Usarías un auto creado por manufactura aditiva (impresión 3D)?","¿Te comprarías un automóvil creado por manufactura aditiva (impresión 3D)?","Submitter","Submission Date","Submission ID"
16,"MUJER","22","TOYOTA/LEXUS","Hatchback","Sí","Sí","A favor","Híbridos","No","Sí","Mejoran","Sí","Sí",,"9/16/2022, 5:09:16 PM","1895e658"
17,"HOMBRE","21","FORD","SUV","No","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","Sí","No",,"9/16/2022, 5:09:33 PM","bcb05b16"
18,"MUJER","22","FORD","SUV","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","No","No",,"9/16/2022, 5:15:14 PM","ee671634"
19,"HOMBRE","22","FORD | CHEVROLET","Pick UP","No","Sí","En contra","Híbridos","No","No","Empeoran","No","No",,"9/16/2022, 5:17:14 PM","e571a0d1"
20,"MUJER","16","VOLKSWAGEN/AUDI","Pick UP","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 5:19:04 PM","ae5bd863"
21,"MUJER","21","MAZDA","SUV","Sí","Sí","A favor","Eléctricos","No","No","Empeoran","Sí","No",,"9/16/2022, 5:19:20 PM","8ebcab70"
22,"HOMBRE","48","FORD","","No","Sí","A favor","Híbridos","","Sí","Mejoran","No","No",,"9/16/2022, 5:22:00 PM","b6bb11cf"
23,"HOMBRE","30","OTRO","Sedán(tres volumenes)","Sí","Sí","A favor","Combustion de hidrogeno","No","Sí","Mejoran","Sí","Sí",,"9/16/2022, 5:24:26 PM","4e1adb14"
24,"HOMBRE","22","FORD | NISSAN | BMW | OTRO","Sedán(tres volumenes)","No","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","No","No",,"9/16/2022, 5:27:36 PM","929d621e"
25,"HOMBRE","40","OTRO","Sedán(tres volumenes)","Sí","Sí","A favor","Combustion de hidrogeno","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 5:39:07 PM","65885852"
26,"HOMBRE","30","CHEVROLET","Sedán(tres volumenes)","No","No","A favor","Híbridos","Sí","Sí","Mejoran","No","Sí",,"9/16/2022, 5:39:51 PM","81fc47c4"
27,"MUJER","22","NISSAN","Sedán(tres volumenes)","No","Sí","A favor","Combustion de hidrogeno","No","Sí","Mejoran","Sí","Sí",,"9/16/2022, 5:45:22 PM","2983689d"
28,"MUJER","47","TOYOTA/LEXUS","SUV","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","No","No",,"9/16/2022, 6:02:09 PM","c674e83f"
29,"HOMBRE","21","VOLKSWAGEN/AUDI","SUV","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 6:03:37 PM","e4184291"
30,"MUJER","43","CHEVROLET","Sedán(tres volumenes)","Sí","Sí","A favor","Híbridos","Sí","Sí","Empeoran","No","No",,"9/16/2022, 6:04:02 PM","281ad80d"
31,"MUJER","33","NISSAN","Sedán(tres volumenes)","No","Sí","En contra","Híbridos","No","No","Mejoran","No","No",,"9/16/2022, 6:05:17 PM","e58906bd"
32,"HOMBRE","25","MAZDA","Otro","No","No","En contra","Híbridos","No","No","Mejoran","Sí","Sí",,"9/16/2022, 6:08:31 PM","67258304"
33,"MUJER","38","BMW","SUV","Sí","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 6:13:45 PM","5108e26e"
34,"HOMBRE","48","VOLKSWAGEN/AUDI","SUV","No","Sí","A favor","Híbridos","Sí","Sí","Mejoran","No","No",,"9/16/2022, 6:14:41 PM","ccccf4ca"
35,"HOMBRE","36","MAZDA","Sedán(tres volumenes)","No","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","No","No",,"9/16/2022, 6:16:02 PM","4ea3ee97"
36,"HOMBRE","48","TOYOTA/LEXUS | VOLKSWAGEN/AUDI | CHEVROLET","SUV","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 6:18:35 PM","dc4959a8"
37,"HOMBRE","40","BMW","Sedán(tres volumenes)","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 6:41:03 PM","3834d49c"
38,"MUJER","20","VOLKSWAGEN/AUDI","Sedán(tres volumenes)","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 6:52:46 PM","47bc6326"
39,"MUJER","17","FORD","Pick UP","Sí","Sí","A favor","Eléctricos","No","Sí","Empeoran","Sí","Sí",,"9/16/2022, 7:16:59 PM","af2fb42c"
40,"MUJER","34","MAZDA | VOLKSWAGEN/AUDI | TOYOTA/LEXUS | CHEVROLET","SUV","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 7:17:23 PM","f10b3ecd"
41,"HOMBRE","47","CHEVROLET | NISSAN","SUV","No","Sí","En contra","Híbridos","No","No","Empeoran","Sí","Sí",,"9/16/2022, 7:23:15 PM","2ce0be0"
42,"MUJER","50","OTRO","SUV","No","Sí","En contra","Híbridos","No","No","Empeoran","No","No",,"9/16/2022, 7:58:39 PM","ff68aad7"
43,"HOMBRE","46","NISSAN","SUV","No","No","A favor","Híbridos","No","No","Empeoran","No","No",,"9/16/2022, 8:22:34 PM","7c6cf5a0"
44,"HOMBRE","27","NISSAN | BMW | CHEVROLET","Pick UP","No","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 9:04:03 PM","50e379fa"
45,"MUJER","22","CHEVROLET","Otro","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","No","Sí",,"9/16/2022, 9:44:01 PM","eed66b02"
46,"HOMBRE","22","FORD","Pick UP","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 9:46:47 PM","a24356a9"
47,"HOMBRE","31","BMW","SUV","Sí","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","Sí","Sí",,"9/16/2022, 11:38:25 PM","fff4c9d9"
48,"HOMBRE","23","VOLKSWAGEN/AUDI | NISSAN","Hatchback","No","Sí","A favor","Combustion de hidrogeno","No","No","Mejoran","No","No",,"9/17/2022, 7:12:58 AM","21a80daf"
49,"MUJER","35","CHEVROLET","SUV","Sí","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","Sí","Sí",,"9/17/2022, 8:35:01 AM","e57ab00d"
50,"HOMBRE","22","Tesla","Sedán(tres volumenes)","No","Sí","A favor","Híbridos","No","Sí","Mejoran","Sí","Sí",,"9/17/2022, 8:56:12 AM","7c6da748"
51,"MUJER","21","Tesla","SUV","Sí","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","No","No",,"9/17/2022, 2:37:12 PM","4bea1de9"
52,"HOMBRE","20","VOLKSWAGEN/AUDI","Sedán(tres volumenes)","Sí","Sí","En contra","Combustion de hidrogeno","Sí","No","Mejoran","Sí","Sí",,"9/18/2022, 9:10:59 PM","ac11fdcf"
